,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,7.688049695553231e-07,0.0,0.0007156488549618321,0.028521471466352363,0.0,0.0,2020-11-09
1,5.484142116161306e-05,8.009754100549113e-05,0.04341603053435114,0.028527367298281165,0.02545156482375458,0.5467289719626168,2020-11-09
2,1.8195050946142647e-05,8.899726778387903e-06,0.016698473282442748,0.028521471466352363,0.01689277664631012,0.18309859154929575,2020-11-09
3,6.406708079627693e-05,8.899726778387903e-06,0.05629770992366412,0.028524803893094728,0.02834182799219504,0.052000000000000005,2020-11-09
4,0.00024371117534903745,0.00042718688536261934,0.1827290076335878,0.028556590117406525,0.04229024426770916,0.6561514195583596,2020-11-09
5,0.26516288414621647,0.3859455514715698,0.0,0.28264259389945456,0.14378727318363585,0.5448474352184386,2020-11-09
6,3.3314882014064006e-06,0.0,0.003101145038167939,0.028521471466352363,0.027778753656134178,0.0,2020-11-09
7,0.00020629600016401173,0.0,0.16507633587786258,0.02855043794495908,0.18632440504228637,0.0,2020-11-09
8,9.148779137708347e-05,0.00022249316945969756,0.07848282442748092,0.028522240487908294,0.03144336760470663,0.9103641456582633,2020-11-09
9,3.3314882014064006e-06,8.899726778387903e-06,0.0028625954198473282,0.028521471466352363,0.0188776521951885,1.0,2020-11-09
10,0.011118970006355455,0.007039683881704831,0.0,0.03944080853901029,0.179761803792553,0.23700101410528257,2020-11-09
11,5.125366463702155e-07,0.0,0.00047709923664122136,0.028521471466352363,,,2020-11-09
12,0.019054831170428686,0.027055169406299224,0.0,0.04680239555341483,0.10545432821484159,0.5315042700558135,2020-11-09
13,0.00018118170449187116,5.339836067032742e-05,0.16579198473282442,0.028523009509464223,0.14202408000645875,0.11032531824611033,2020-11-09
14,0.0,0.0,0.0,0.028521471466352363,,,2020-11-09
15,0.015609816101851283,0.01816434235468971,0.0,0.0436124941394149,0.15104505784772665,0.43559561334384034,2020-11-09
16,7.688049695553231e-07,0.0,0.0007156488549618321,0.028521471466352363,0.0,0.0,2020-11-10
17,5.484142116161306e-05,8.009754100549113e-05,0.04341603053435114,0.028527367298281165,0.02545156482375458,0.5467289719626168,2020-11-10
18,1.8195050946142647e-05,8.899726778387903e-06,0.016698473282442748,0.028521471466352363,0.01689277664631012,0.18309859154929575,2020-11-10
19,6.483588576583226e-05,8.899726778387903e-06,0.05629770992366412,0.02852557291465066,0.028700800764464712,0.05138339920948617,2020-11-10
20,0.00024909281013592473,0.00042718688536261934,0.1827290076335878,0.028561973268298037,0.043258823755887625,0.6419753086419753,2020-11-10
21,0.26993511286056954,0.39003942578962825,0.0,0.28729825039905815,0.1464033648675913,0.5408922180133481,2020-11-10
22,3.3314882014064006e-06,0.0,0.003101145038167939,0.028521471466352363,0.027778753656134178,0.0,2020-11-10
23,0.0002086024150726777,0.0,0.16746183206106868,0.028550181604440436,0.18842511656111013,0.0,2020-11-10
24,9.200032802345367e-05,0.00022249316945969756,0.07848282442748092,0.02852275316894558,0.03162833083888955,0.9052924791086349,2020-11-10
25,3.3314882014064006e-06,8.899726778387903e-06,0.0028625954198473282,0.028521471466352363,0.0188776521951885,1.0,2020-11-10
26,0.0112506919244726,0.007137580876267098,0.0,0.03956974781988798,0.1819099984079674,0.23748348594597057,2020-11-10
27,5.125366463702155e-07,0.0,0.00047709923664122136,0.028521471466352363,,,2020-11-10
28,0.019268046415318697,0.027402258750656352,0.0,0.04700567358469914,0.10665191249380879,0.5323659675209809,2020-11-10
29,0.0001822067777846116,5.339836067032742e-05,0.16579198473282442,0.028524034871538796,0.1428365080104384,0.10970464135021098,2020-11-10
30,0.0,0.0,0.0,0.028521471466352363,,,2020-11-10
31,0.01572359923734547,0.018360136343814244,0.0,0.04372066983828246,0.15215751888380874,0.4371047656300932,2020-11-10
32,7.688049695553231e-07,0.0,0.0007156488549618321,0.028521471466352363,0.0,0.0,2020-11-11
33,5.484142116161306e-05,8.009754100549113e-05,0.04341603053435114,0.028527367298281165,0.02545156482375458,0.5467289719626168,2020-11-11
34,1.8195050946142647e-05,8.899726778387903e-06,0.016698473282442748,0.028521471466352363,0.01689277664631012,0.18309859154929575,2020-11-11
35,6.483588576583226e-05,8.899726778387903e-06,0.05629770992366412,0.02852557291465066,0.028700800764464712,0.05138339920948617,2020-11-11
36,0.0002526805666605162,0.00042718688536261934,0.1827290076335878,0.028565562035559048,0.04390454341467327,0.6328600405679514,2020-11-11
37,0.2750527912745761,0.39429349518969764,0.0,0.2922948397884576,0.149208828884807,0.5366179073884282,2020-11-11
38,3.587756524591508e-06,0.0,0.003101145038167939,0.028521727806871008,0.030036547760217157,0.0,2020-11-11
39,0.0002157779281218607,8.899726778387903e-06,0.16984732824427481,0.028554539393257375,0.19496066350856162,0.015439429928741092,2020-11-11
40,9.251286466982388e-05,0.00022249316945969756,0.07848282442748092,0.028523265849982868,0.03181329407307247,0.9002770083102495,2020-11-11
41,3.3314882014064006e-06,8.899726778387903e-06,0.0028625954198473282,0.028521471466352363,0.0188776521951885,1.0,2020-11-11
42,0.01145340016811202,0.007208778690494202,0.0,0.03977046244598585,0.18521587767021025,0.2356073658067259,2020-11-11
43,5.125366463702155e-07,0.0,0.00047709923664122136,0.028521471466352363,,,2020-11-11
